model,dependent_var,term,estimate,std_err,ci_low,ci_high,p_value
gemma3-1b-pt,D,const,,,,,
gemma3-1b-pt,D,role_dep_useState_form_code,,,,,
gemma3-1b-pt,D,decl_dep_first_code,,,,,
gemma3-1b-pt,D,distance_c,,,,,
gemma3-1b-pt,D,condition_subscribe,,,,,
gemma3-1b-pt,D,condition_plain_array,,,,,
gemma3-1b-pt,D,condition_return_array,,,,,
gemma3-1b-pt,D,role_x_subscribe,,,,,
gemma3-1b-pt,D,role_x_plain_array,,,,,
gemma3-1b-pt,D,role_x_return_array,,,,,
llama3.2-1b,D,const,0.30461627492877463,0.10067489058586201,0.10729711523297455,0.5019354346245747,0.0024802359235285938
llama3.2-1b,D,role_dep_useState_form_code,1.28420138888889,0.07220554429716564,1.1426811225823337,1.4257216551954461,9.17768205163579e-71
llama3.2-1b,D,decl_dep_first_code,0.5180555555555554,0.025011714828061242,0.46903349530096894,0.5670776158101418,2.6713055431199023e-95
llama3.2-1b,D,distance_c,0.04665019586894566,0.03421366396867083,-0.0204073532888049,0.11370774502669621,0.1727262267340649
llama3.2-1b,D,condition_subscribe,-0.3584201388888896,0.06639326317676417,-0.48854854353143673,-0.22829173424634244,6.72223266175466e-08
llama3.2-1b,D,condition_plain_array,-0.25475427350427426,0.11369663304389614,-0.4775955794337773,-0.03191296757477122,0.025048805025190284
llama3.2-1b,D,condition_return_array,0.26536903490028524,0.05353755429652933,0.16043735665873013,0.3703007131418403,7.17044180597937e-07
llama3.2-1b,D,role_x_subscribe,-0.09157986111111105,0.03571833347407161,-0.16158650830808285,-0.021573213914139258,0.010348978720931965
llama3.2-1b,D,role_x_plain_array,0.1401909722222219,0.07473532484843459,-0.006287572853611256,0.28666951729805507,0.0606782451867581
llama3.2-1b,D,role_x_return_array,1.6789930555555548,0.07031276253894089,1.5411825733257136,1.816803537785396,5.071830546072934e-126
