model,condition,pair_id,D__sr=alt_reactive|do=reactive_first|bo=alt_first,D__sr=alt_reactive|do=stable_first|bo=alt_first,D__sr=dep_reactive|do=reactive_first|bo=dep_first,D__sr=dep_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=dep_first,logit_control__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_control__sr=alt_reactive|do=stable_first|bo=alt_first,logit_control__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_control__sr=dep_reactive|do=stable_first|bo=dep_first,logit_target__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_target__sr=alt_reactive|do=stable_first|bo=alt_first,logit_target__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_target__sr=dep_reactive|do=stable_first|bo=dep_first
llama3.2-1b,return_array,pair_23,-3.0,-0.625,3.25,3.125,3.0,0.625,3.25,3.125,21.625,23.375,20.25,20.125,24.625,24.0,23.5,23.25
llama3.2-1b,return_array,pair_24,-1.75,0.0,6.25,5.5,1.75,-0.0,6.25,5.5,22.375,23.875,18.25,19.25,24.125,23.875,24.5,24.75
llama3.2-1b,return_array,pair_25,-3.5,-1.25,5.5,4.875,3.5,1.25,5.5,4.875,20.5,22.0,18.875,19.375,24.0,23.25,24.375,24.25
llama3.2-1b,return_array,pair_26,-3.625,-0.75,3.125,2.375,3.625,0.75,3.125,2.375,21.25,23.75,20.875,22.0,24.875,24.5,24.0,24.375
llama3.2-1b,return_array,pair_27,-1.625,0.25,4.375,3.375,1.625,-0.25,4.375,3.375,22.25,23.625,20.875,21.75,23.875,23.375,25.25,25.125
llama3.2-1b,return_array,pair_28,-5.0,-3.25,2.5,1.125,5.0,3.25,2.5,1.125,20.125,21.375,21.5,22.875,25.125,24.625,24.0,24.0
llama3.2-1b,return_array,pair_29,-4.125,-3.125,2.625,2.125,4.125,3.125,2.625,2.125,21.25,22.125,22.125,22.75,25.375,25.25,24.75,24.875
llama3.2-1b,return_array,pair_30,-4.5,-2.0,3.5,2.875,4.5,2.0,3.5,2.875,21.625,23.75,21.25,21.875,26.125,25.75,24.75,24.75
llama3.2-1b,return_array,pair_31,-2.5,-0.625,5.375,4.125,2.5,0.625,5.375,4.125,21.75,23.375,18.125,19.5,24.25,24.0,23.5,23.625
llama3.2-1b,return_array,pair_32,-3.0,-0.875,4.25,3.25,3.0,0.875,4.25,3.25,21.625,23.0,20.25,20.875,24.625,23.875,24.5,24.125
llama3.2-1b,return_array,pair_33,-4.375,-2.5,3.0,1.5,4.375,2.5,3.0,1.5,20.5,22.125,21.5,23.25,24.875,24.625,24.5,24.75
llama3.2-1b,return_array,pair_34,-5.125,-1.875,5.25,3.375,5.125,1.875,5.25,3.375,18.875,21.125,18.125,19.875,24.0,23.0,23.375,23.25
llama3.2-1b,return_array,pair_35,-1.5,0.5,4.125,3.375,1.5,-0.5,4.125,3.375,22.0,23.375,20.375,21.125,23.5,22.875,24.5,24.5
llama3.2-1b,return_array,pair_36,-5.375,-3.125,3.0,1.75,5.375,3.125,3.0,1.75,19.5,21.5,19.875,20.875,24.875,24.625,22.875,22.625
llama3.2-1b,return_array,pair_37,-4.125,-1.125,3.375,2.125,4.125,1.125,3.375,2.125,20.75,23.0,19.75,21.0,24.875,24.125,23.125,23.125
llama3.2-1b,return_array,pair_38,-4.25,-1.75,3.875,3.125,4.25,1.75,3.875,3.125,21.375,23.375,20.875,21.75,25.625,25.125,24.75,24.875
llama3.2-1b,return_array,pair_39,-3.125,-1.125,4.5,4.625,3.125,1.125,4.5,4.625,21.75,23.5,19.75,19.5,24.875,24.625,24.25,24.125
llama3.2-1b,return_array,pair_40,-1.375,0.75,6.25,5.375,1.375,-0.75,6.25,5.375,22.375,24.125,17.75,18.875,23.75,23.375,24.0,24.25
llama3.2-1b,return_array,pair_41,-5.0,-2.75,3.25,2.0,5.0,2.75,3.25,2.0,19.25,21.25,20.75,22.0,24.25,24.0,24.0,24.0
llama3.2-1b,return_array,pair_42,-2.0,0.375,4.25,3.375,2.0,-0.375,4.25,3.375,21.625,23.5,19.5,20.125,23.625,23.125,23.75,23.5
llama3.2-1b,return_array,pair_43,-2.875,-1.625,3.375,2.0,2.875,1.625,3.375,2.0,22.875,23.875,21.875,23.125,25.75,25.5,25.25,25.125
llama3.2-1b,return_array,pair_44,-5.625,-3.375,3.5,2.125,5.625,3.375,3.5,2.125,20.0,22.25,21.0,22.375,25.625,25.625,24.5,24.5
llama3.2-1b,return_array,pair_45,-2.125,-1.625,4.625,3.125,2.125,1.625,4.625,3.125,22.5,23.125,20.25,21.75,24.625,24.75,24.875,24.875
llama3.2-1b,subscribe,pair_01,1.0,1.0,1.5,0.625,-1.0,-1.0,1.5,0.625,26.125,26.125,23.75,24.75,25.125,25.125,25.25,25.375
llama3.2-1b,subscribe,pair_02,-1.25,-0.375,2.375,0.875,1.25,0.375,2.375,0.875,24.625,25.375,22.875,24.0,25.875,25.75,25.25,24.875
llama3.2-1b,subscribe,pair_03,-1.25,-0.125,2.0,1.125,1.25,0.125,2.0,1.125,23.5,24.625,23.375,24.25,24.75,24.75,25.375,25.375
llama3.2-1b,subscribe,pair_04,-2.75,-1.375,1.5,0.5,2.75,1.375,1.5,0.5,22.0,23.25,23.5,24.375,24.75,24.625,25.0,24.875
llama3.2-1b,subscribe,pair_05,-2.125,-1.5,1.625,0.875,2.125,1.5,1.625,0.875,23.5,24.125,23.875,24.625,25.625,25.625,25.5,25.5
llama3.2-1b,subscribe,pair_06,-2.25,-1.125,1.875,0.625,2.25,1.125,1.875,0.625,22.75,24.0,23.5,24.625,25.0,25.125,25.375,25.25
llama3.2-1b,subscribe,pair_07,-1.375,-0.125,1.25,-0.125,1.375,0.125,1.25,-0.125,24.375,25.125,23.125,24.25,25.75,25.25,24.375,24.125
llama3.2-1b,subscribe,pair_08,-3.75,-1.75,0.375,-1.125,3.75,1.75,0.375,-1.125,22.5,24.25,24.125,25.5,26.25,26.0,24.5,24.375
llama3.2-1b,subscribe,pair_09,-3.125,-1.375,1.75,0.75,3.125,1.375,1.75,0.75,23.25,24.625,22.625,23.25,26.375,26.0,24.375,24.0
llama3.2-1b,subscribe,pair_10,-2.375,-1.625,1.0,0.125,2.375,1.625,1.0,0.125,22.875,23.875,23.25,24.125,25.25,25.5,24.25,24.25
llama3.2-1b,subscribe,pair_11,-2.0,-1.125,1.5,0.875,2.0,1.125,1.5,0.875,22.5,23.25,23.625,24.125,24.5,24.375,25.125,25.0
llama3.2-1b,subscribe,pair_12,-2.375,-0.375,1.375,0.75,2.375,0.375,1.375,0.75,22.25,23.875,23.25,23.625,24.625,24.25,24.625,24.375
llama3.2-1b,subscribe,pair_13,-1.875,-0.25,1.625,0.5,1.875,0.25,1.625,0.5,24.125,25.375,24.25,25.5,26.0,25.625,25.875,26.0
llama3.2-1b,subscribe,pair_14,-0.875,0.5,2.25,1.125,0.875,-0.5,2.25,1.125,24.875,26.125,23.75,25.0,25.75,25.625,26.0,26.125
llama3.2-1b,subscribe,pair_15,-0.625,0.0,1.5,1.625,0.625,-0.0,1.5,1.625,24.75,25.25,23.625,23.75,25.375,25.25,25.125,25.375
llama3.2-1b,subscribe,pair_16,-2.5,-1.125,2.125,1.125,2.5,1.125,2.125,1.125,23.75,24.75,22.875,23.75,26.25,25.875,25.0,24.875
llama3.2-1b,subscribe,pair_17,-1.875,-0.75,2.25,1.5,1.875,0.75,2.25,1.5,23.5,24.625,22.875,23.875,25.375,25.375,25.125,25.375
llama3.2-1b,subscribe,pair_18,-2.125,-0.5,1.75,0.25,2.125,0.5,1.75,0.25,23.5,24.875,23.625,24.875,25.625,25.375,25.375,25.125
llama3.2-1b,subscribe,pair_19,-1.25,0.25,2.25,1.5,1.25,-0.25,2.25,1.5,23.125,24.375,23.375,23.875,24.375,24.125,25.625,25.375
llama3.2-1b,subscribe,pair_20,-3.5,-1.375,0.625,-0.125,3.5,1.375,0.625,-0.125,22.375,24.25,23.875,24.75,25.875,25.625,24.5,24.625
llama3.2-1b,subscribe,pair_21,-2.125,-0.75,1.75,0.75,2.125,0.75,1.75,0.75,23.0,24.125,22.375,23.125,25.125,24.875,24.125,23.875
llama3.2-1b,subscribe,pair_22,-0.875,0.0,2.0,0.875,0.875,-0.0,2.0,0.875,25.0,25.75,23.875,25.0,25.875,25.75,25.875,25.875
llama3.2-1b,subscribe,pair_23,-1.875,-1.25,1.25,1.0,1.875,1.25,1.25,1.0,23.375,24.0,22.75,22.875,25.25,25.25,24.0,23.875
llama3.2-1b,subscribe,pair_24,-1.375,-0.625,2.375,1.625,1.375,0.625,2.375,1.625,24.0,24.625,22.0,22.5,25.375,25.25,24.375,24.125
llama3.2-1b,subscribe,pair_25,-3.0,-1.25,1.375,0.75,3.0,1.25,1.375,0.75,21.5,22.875,23.375,23.625,24.5,24.125,24.75,24.375
llama3.2-1b,subscribe,pair_26,-2.875,-1.125,0.375,-0.25,2.875,1.125,0.375,-0.25,22.875,24.5,24.5,25.25,25.75,25.625,24.875,25.0
llama3.2-1b,subscribe,pair_27,-0.125,0.75,2.125,1.75,0.125,-0.75,2.125,1.75,24.875,25.25,23.625,24.0,25.0,24.5,25.75,25.75
llama3.2-1b,subscribe,pair_28,-1.625,-0.5,2.75,1.5,1.625,0.5,2.75,1.5,24.0,25.25,23.5,25.0,25.625,25.75,26.25,26.5
llama3.2-1b,subscribe,pair_29,-1.625,-1.0,1.625,1.5,1.625,1.0,1.625,1.5,24.5,24.875,23.875,24.25,26.125,25.875,25.5,25.75
llama3.2-1b,subscribe,pair_30,0.125,1.25,1.375,0.625,-0.125,-1.25,1.375,0.625,25.375,26.0,23.75,24.25,25.25,24.75,25.125,24.875
llama3.2-1b,subscribe,pair_31,-2.5,-0.875,1.875,0.5,2.5,0.875,1.875,0.5,23.375,24.5,22.125,23.25,25.875,25.375,24.0,23.75
llama3.2-1b,subscribe,pair_32,-0.625,-0.25,1.5,1.625,0.625,0.25,1.5,1.625,24.875,25.25,23.5,23.875,25.5,25.5,25.0,25.5
llama3.2-1b,subscribe,pair_33,-3.0,-1.75,0.875,0.0,3.0,1.75,0.875,0.0,22.375,23.75,24.625,25.625,25.375,25.5,25.5,25.625
llama3.2-1b,subscribe,pair_34,-1.75,0.25,1.875,1.5,1.75,-0.25,1.875,1.5,22.625,24.0,22.625,23.0,24.375,23.75,24.5,24.5
llama3.2-1b,subscribe,pair_35,-1.125,-0.25,1.375,0.75,1.125,0.25,1.375,0.75,23.25,23.875,23.625,24.375,24.375,24.125,25.0,25.125
llama3.2-1b,subscribe,pair_36,-2.875,-1.625,1.25,0.25,2.875,1.625,1.25,0.25,23.375,24.375,22.75,23.5,26.25,26.0,24.0,23.75
llama3.2-1b,subscribe,pair_37,-2.875,-0.875,1.25,0.125,2.875,0.875,1.25,0.125,22.5,24.375,23.125,24.0,25.375,25.25,24.375,24.125
llama3.2-1b,subscribe,pair_38,-0.5,0.75,1.625,0.5,0.5,-0.75,1.625,0.5,24.25,25.125,23.625,24.75,24.75,24.375,25.25,25.25
llama3.2-1b,subscribe,pair_39,-2.0,-1.375,0.875,0.5,2.0,1.375,0.875,0.5,23.375,24.25,23.25,23.5,25.375,25.625,24.125,24.0
llama3.2-1b,subscribe,pair_40,-1.375,0.25,3.0,2.0,1.375,-0.25,3.0,2.0,23.875,25.0,21.875,22.625,25.25,24.75,24.875,24.625
llama3.2-1b,subscribe,pair_41,-2.25,-0.875,2.25,1.0,2.25,0.875,2.25,1.0,22.625,24.25,23.5,24.625,24.875,25.125,25.75,25.625
llama3.2-1b,subscribe,pair_42,-1.5,-0.625,1.125,0.5,1.5,0.625,1.125,0.5,23.125,23.875,23.0,23.375,24.625,24.5,24.125,23.875
llama3.2-1b,subscribe,pair_43,0.375,0.875,1.875,1.0,-0.375,-0.875,1.875,1.0,26.0,26.375,24.125,25.125,25.625,25.5,26.0,26.125
llama3.2-1b,subscribe,pair_44,-2.375,-0.625,1.125,0.125,2.375,0.625,1.125,0.125,23.75,25.375,23.5,24.375,26.125,26.0,24.625,24.5
llama3.2-1b,subscribe,pair_45,-0.875,0.125,3.375,2.375,0.875,-0.125,3.375,2.375,25.0,25.625,22.625,23.75,25.875,25.5,26.0,26.125
llama3.2-1b,useEffect,pair_01,0.625,0.5,1.0,0.875,-0.625,-0.5,1.0,0.875,26.75,26.5,25.0,25.5,26.125,26.0,26.0,26.375
llama3.2-1b,useEffect,pair_02,-1.125,-0.625,2.75,1.75,1.125,0.625,2.75,1.75,25.375,25.875,23.5,24.5,26.5,26.5,26.25,26.25
llama3.2-1b,useEffect,pair_03,0.25,0.75,3.125,2.75,-0.25,-0.75,3.125,2.75,25.5,26.125,24.125,24.625,25.25,25.375,27.25,27.375
llama3.2-1b,useEffect,pair_04,-2.625,-1.125,1.875,1.5,2.625,1.125,1.875,1.5,23.25,24.625,24.5,25.125,25.875,25.75,26.375,26.625
llama3.2-1b,useEffect,pair_05,-0.75,-0.25,2.375,1.75,0.75,0.25,2.375,1.75,25.25,26.0,24.5,25.25,26.0,26.25,26.875,27.0
llama3.2-1b,useEffect,pair_06,-1.5,-0.875,2.0,1.625,1.5,0.875,2.0,1.625,24.625,25.125,24.25,24.875,26.125,26.0,26.25,26.5
llama3.2-1b,useEffect,pair_07,-1.125,-1.0,0.75,0.0,1.125,1.0,0.75,0.0,25.375,25.375,24.625,25.375,26.5,26.375,25.375,25.375
llama3.2-1b,useEffect,pair_08,-2.375,-1.625,0.5,-0.25,2.375,1.625,0.5,-0.25,24.125,24.875,25.0,25.75,26.5,26.5,25.5,25.5
llama3.2-1b,useEffect,pair_09,-3.5,-2.125,1.625,0.625,3.5,2.125,1.625,0.625,23.625,25.0,24.25,25.0,27.125,27.125,25.875,25.625
llama3.2-1b,useEffect,pair_10,-2.25,-1.75,1.0,1.0,2.25,1.75,1.0,1.0,24.125,24.625,24.25,24.375,26.375,26.375,25.25,25.375
llama3.2-1b,useEffect,pair_11,-1.0,-0.5,1.75,1.875,1.0,0.5,1.75,1.875,24.375,24.75,24.625,24.75,25.375,25.25,26.375,26.625
llama3.2-1b,useEffect,pair_12,-1.75,-0.25,1.875,1.375,1.75,0.25,1.875,1.375,23.375,24.75,23.625,24.0,25.125,25.0,25.5,25.375
llama3.2-1b,useEffect,pair_13,-1.75,-0.625,1.125,0.625,1.75,0.625,1.125,0.625,24.75,25.75,25.0,25.75,26.5,26.375,26.125,26.375
llama3.2-1b,useEffect,pair_14,-0.375,0.125,1.75,1.625,0.375,-0.125,1.75,1.625,26.125,26.625,25.625,26.0,26.5,26.5,27.375,27.625
llama3.2-1b,useEffect,pair_15,-0.25,-0.125,2.375,2.375,0.25,0.125,2.375,2.375,25.75,26.0,23.875,24.0,26.0,26.125,26.25,26.375
llama3.2-1b,useEffect,pair_16,-2.875,-2.375,1.625,1.0,2.875,2.375,1.625,1.0,24.0,24.625,24.375,25.0,26.875,27.0,26.0,26.0
llama3.2-1b,useEffect,pair_17,-2.0,-1.375,2.625,2.125,2.0,1.375,2.625,2.125,24.5,25.25,23.875,24.5,26.5,26.625,26.5,26.625
llama3.2-1b,useEffect,pair_18,-0.875,0.125,1.625,1.0,0.875,-0.125,1.625,1.0,25.375,26.125,24.625,25.25,26.25,26.0,26.25,26.25
llama3.2-1b,useEffect,pair_19,-1.0,0.5,3.0,2.625,1.0,-0.5,3.0,2.625,24.375,25.375,23.75,24.125,25.375,24.875,26.75,26.75
llama3.2-1b,useEffect,pair_20,-2.375,-1.25,0.875,0.5,2.375,1.25,0.875,0.5,23.75,24.875,24.625,25.0,26.125,26.125,25.5,25.5
llama3.2-1b,useEffect,pair_21,-1.0,-0.5,2.125,1.625,1.0,0.5,2.125,1.625,24.625,25.0,23.5,24.0,25.625,25.5,25.625,25.625
llama3.2-1b,useEffect,pair_22,-0.375,0.0,1.875,0.875,0.375,-0.0,1.875,0.875,26.25,26.625,25.5,26.5,26.625,26.625,27.375,27.375
llama3.2-1b,useEffect,pair_23,-1.375,-0.75,2.375,2.25,1.375,0.75,2.375,2.25,24.5,25.0,23.125,23.375,25.875,25.75,25.5,25.625
llama3.2-1b,useEffect,pair_24,-1.5,-1.0,2.625,2.375,1.5,1.0,2.625,2.375,24.75,25.25,22.625,22.75,26.25,26.25,25.25,25.125
llama3.2-1b,useEffect,pair_25,-2.125,-1.125,1.625,1.5,2.125,1.125,1.625,1.5,23.375,24.125,24.375,24.75,25.5,25.25,26.0,26.25
llama3.2-1b,useEffect,pair_26,-2.0,-1.0,0.625,0.5,2.0,1.0,0.625,0.5,24.125,25.125,24.875,25.125,26.125,26.125,25.5,25.625
llama3.2-1b,useEffect,pair_27,1.0,1.5,2.125,2.25,-1.0,-1.5,2.125,2.25,26.125,26.5,24.5,24.75,25.125,25.0,26.625,27.0
llama3.2-1b,useEffect,pair_28,-0.875,-0.125,2.75,2.25,0.875,0.125,2.75,2.25,25.625,26.25,24.5,25.25,26.5,26.375,27.25,27.5
llama3.2-1b,useEffect,pair_29,-1.25,-0.625,2.375,2.0,1.25,0.625,2.375,2.0,25.375,26.125,24.75,25.25,26.625,26.75,27.125,27.25
llama3.2-1b,useEffect,pair_30,0.5,0.875,0.875,0.5,-0.5,-0.875,0.875,0.5,26.5,26.75,25.75,26.0,26.0,25.875,26.625,26.5
llama3.2-1b,useEffect,pair_31,-3.125,-2.0,1.875,1.25,3.125,2.0,1.875,1.25,23.5,24.5,23.25,24.0,26.625,26.5,25.125,25.25
llama3.2-1b,useEffect,pair_32,-0.125,0.0,2.375,2.5,0.125,-0.0,2.375,2.5,26.0,26.125,23.75,24.0,26.125,26.125,26.125,26.5
llama3.2-1b,useEffect,pair_33,-2.625,-1.75,1.5,1.25,2.625,1.75,1.5,1.25,23.5,24.5,25.0,25.375,26.125,26.25,26.5,26.625
llama3.2-1b,useEffect,pair_34,-1.125,0.25,1.75,1.625,1.125,-0.25,1.75,1.625,23.875,25.0,24.125,24.25,25.0,24.75,25.875,25.875
llama3.2-1b,useEffect,pair_35,0.25,0.75,2.375,2.25,-0.25,-0.75,2.375,2.25,25.0,25.25,23.875,24.25,24.75,24.5,26.25,26.5
llama3.2-1b,useEffect,pair_36,-2.375,-1.875,1.75,0.875,2.375,1.875,1.75,0.875,24.375,24.875,23.75,24.5,26.75,26.75,25.5,25.375
llama3.2-1b,useEffect,pair_37,-2.25,-0.875,0.75,0.375,2.25,0.875,0.75,0.375,24.0,25.25,24.5,24.875,26.25,26.125,25.25,25.25
llama3.2-1b,useEffect,pair_38,-0.75,-0.5,1.875,1.25,0.75,0.5,1.875,1.25,25.5,25.625,24.625,25.375,26.25,26.125,26.5,26.625
llama3.2-1b,useEffect,pair_39,-1.375,-0.875,1.75,1.875,1.375,0.875,1.75,1.875,24.75,25.375,23.5,23.25,26.125,26.25,25.25,25.125
llama3.2-1b,useEffect,pair_40,-1.375,-0.375,3.125,2.5,1.375,0.375,3.125,2.5,24.5,25.375,22.375,23.0,25.875,25.75,25.5,25.5
llama3.2-1b,useEffect,pair_41,-0.625,0.125,2.625,2.0,0.625,-0.125,2.625,2.0,24.75,25.75,24.5,25.25,25.375,25.625,27.125,27.25
llama3.2-1b,useEffect,pair_42,-0.875,0.0,1.875,1.5,0.875,-0.0,1.875,1.5,24.375,25.0,23.875,24.125,25.25,25.0,25.75,25.625
llama3.2-1b,useEffect,pair_43,-0.125,-0.25,1.125,0.75,0.125,0.25,1.125,0.75,26.5,26.625,25.5,26.0,26.625,26.875,26.625,26.75
llama3.2-1b,useEffect,pair_44,-2.125,-1.125,1.375,0.75,2.125,1.125,1.375,0.75,24.75,25.875,24.875,25.5,26.875,27.0,26.25,26.25
llama3.2-1b,useEffect,pair_45,-0.125,0.5,3.875,2.625,0.125,-0.5,3.875,2.625,26.125,26.625,23.25,24.5,26.25,26.125,27.125,27.125
