model,condition,pair_id,D__sr=alt_reactive|do=reactive_first|bo=alt_first,D__sr=alt_reactive|do=reactive_first|bo=dep_first,D__sr=alt_reactive|do=stable_first|bo=alt_first,D__sr=alt_reactive|do=stable_first|bo=dep_first,D__sr=dep_reactive|do=reactive_first|bo=alt_first,D__sr=dep_reactive|do=reactive_first|bo=dep_first,D__sr=dep_reactive|do=stable_first|bo=alt_first,D__sr=dep_reactive|do=stable_first|bo=dep_first,LD_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=alt_reactive|do=stable_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=alt_first,LD_stateform__sr=dep_reactive|do=stable_first|bo=dep_first,logit_alt__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_alt__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_alt__sr=alt_reactive|do=stable_first|bo=alt_first,logit_alt__sr=alt_reactive|do=stable_first|bo=dep_first,logit_alt__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_alt__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_alt__sr=dep_reactive|do=stable_first|bo=alt_first,logit_alt__sr=dep_reactive|do=stable_first|bo=dep_first,logit_close__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_close__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_close__sr=alt_reactive|do=stable_first|bo=alt_first,logit_close__sr=alt_reactive|do=stable_first|bo=dep_first,logit_close__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_close__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_close__sr=dep_reactive|do=stable_first|bo=alt_first,logit_close__sr=dep_reactive|do=stable_first|bo=dep_first,logit_const_form__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_const_form__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_const_form__sr=alt_reactive|do=stable_first|bo=alt_first,logit_const_form__sr=alt_reactive|do=stable_first|bo=dep_first,logit_const_form__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_const_form__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_const_form__sr=dep_reactive|do=stable_first|bo=alt_first,logit_const_form__sr=dep_reactive|do=stable_first|bo=dep_first,logit_dep__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_dep__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_dep__sr=alt_reactive|do=stable_first|bo=alt_first,logit_dep__sr=alt_reactive|do=stable_first|bo=dep_first,logit_dep__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_dep__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_dep__sr=dep_reactive|do=stable_first|bo=alt_first,logit_dep__sr=dep_reactive|do=stable_first|bo=dep_first,logit_useState_form__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_useState_form__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_useState_form__sr=alt_reactive|do=stable_first|bo=alt_first,logit_useState_form__sr=alt_reactive|do=stable_first|bo=dep_first,logit_useState_form__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_useState_form__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_useState_form__sr=dep_reactive|do=stable_first|bo=alt_first,logit_useState_form__sr=dep_reactive|do=stable_first|bo=dep_first,mean_LD_stateform_pair,n_cells
llama3.2-1b,alias_ctrl,pair_36,-3.875,-0.125,-2.375,1.25,-0.25,3.0,-0.625,2.5,3.875,0.125,2.375,-1.25,-0.25,3.0,-0.625,2.5,3.875,0.125,2.375,-1.25,-0.25,3.0,-0.625,2.5,25.75,24.625,26.0,23.75,23.375,20.875,23.625,21.5,11.3125,11.25,11.625,10.875,10.125,9.875,10.375,10.0625,21.875,24.5,23.625,25.0,23.375,20.875,23.625,21.5,21.875,24.5,23.625,25.0,23.125,23.875,23.0,24.0,25.75,24.625,26.0,23.75,23.125,23.875,23.0,24.0,1.21875,8
llama3.2-1b,alias_ctrl,pair_37,-4.125,-0.375,-2.125,1.0,-0.125,3.125,-1.625,1.75,4.125,0.375,2.125,-1.0,-0.125,3.125,-1.625,1.75,4.125,0.375,2.125,-1.0,-0.125,3.125,-1.625,1.75,25.5,24.625,25.875,24.25,24.125,21.375,25.0,23.125,12.1875,12.4375,12.375,12.375,11.5,11.5625,11.5625,11.5625,21.375,24.25,23.75,25.25,24.125,21.375,25.0,23.125,21.375,24.25,23.75,25.25,24.0,24.5,23.375,24.875,25.5,24.625,25.875,24.25,24.0,24.5,23.375,24.875,1.09375,8
llama3.2-1b,alias_ctrl,pair_38,-3.5,-1.375,-2.0,0.5,0.5,3.0,-0.875,1.625,3.5,1.375,2.0,-0.5,0.5,3.0,-0.875,1.625,3.5,1.375,2.0,-0.5,0.5,3.0,-0.875,1.625,26.125,25.625,26.125,24.75,24.875,22.625,25.875,24.375,11.75,11.625,11.875,11.5625,11.6875,11.5625,11.625,11.75,22.625,24.25,24.125,25.25,24.875,22.625,25.875,24.375,22.625,24.25,24.125,25.25,25.375,25.625,25.0,26.0,26.125,25.625,26.125,24.75,25.375,25.625,25.0,26.0,1.328125,8
llama3.2-1b,alias_ctrl,pair_39,-3.0,-2.125,-1.75,-1.0,0.375,1.875,-0.25,1.625,3.0,2.125,1.75,1.0,0.375,1.875,-0.25,1.625,3.0,2.125,1.75,1.0,0.375,1.875,-0.25,1.625,25.75,25.75,26.0,25.625,23.5,22.125,24.0,22.625,12.0625,12.1875,12.375,12.1875,11.1875,11.125,11.1875,11.1875,22.75,23.625,24.25,24.625,23.5,22.125,24.0,22.625,22.75,23.625,24.25,24.625,23.875,24.0,23.75,24.25,25.75,25.75,26.0,25.625,23.875,24.0,23.75,24.25,1.4375,8
llama3.2-1b,alias_ctrl,pair_40,-3.25,0.25,-1.375,1.625,1.0,4.5,0.375,3.75,3.25,-0.25,1.375,-1.625,1.0,4.5,0.375,3.75,3.25,-0.25,1.375,-1.625,1.0,4.5,0.375,3.75,25.375,24.625,25.5,24.0,23.0,19.875,23.5,21.125,11.6875,12.1875,12.25,12.1875,11.625,11.375,11.625,11.5,22.125,24.875,24.125,25.625,23.0,19.875,23.5,21.125,22.125,24.875,24.125,25.625,24.0,24.375,23.875,24.875,25.375,24.625,25.5,24.0,24.0,24.375,23.875,24.875,1.546875,8
llama3.2-1b,alias_ctrl,pair_41,-3.75,-0.375,-2.5,0.75,-0.25,3.5,-1.375,1.75,3.75,0.375,2.5,-0.75,-0.25,3.5,-1.375,1.75,3.75,0.375,2.5,-0.75,-0.25,3.5,-1.375,1.75,25.375,24.75,25.75,24.625,24.875,22.25,25.375,24.125,11.875,11.9375,12.25,12.1875,11.9375,11.875,12.125,12.125,21.625,24.375,23.25,25.375,24.875,22.25,25.375,24.125,21.625,24.375,23.25,25.375,24.625,25.75,24.0,25.875,25.375,24.75,25.75,24.625,24.625,25.75,24.0,25.875,1.1875,8
llama3.2-1b,alias_ctrl,pair_42,-3.0,0.5,-1.375,1.625,0.125,2.5,-0.75,2.25,3.0,-0.5,1.375,-1.625,0.125,2.5,-0.75,2.25,3.0,-0.5,1.375,-1.625,0.125,2.5,-0.75,2.25,25.25,24.125,25.375,23.375,23.75,21.625,24.375,22.25,12.0,12.0,12.0625,11.8125,11.375,11.125,11.4375,11.375,22.25,24.625,24.0,25.0,23.75,21.625,24.375,22.25,22.25,24.625,24.0,25.0,23.875,24.125,23.625,24.5,25.25,24.125,25.375,23.375,23.875,24.125,23.625,24.5,0.796875,8
llama3.2-1b,alias_ctrl,pair_43,-3.0,-0.125,-2.0,1.0,1.125,3.625,-0.5,2.25,3.0,0.125,2.0,-1.0,1.125,3.625,-0.5,2.25,3.0,0.125,2.0,-1.0,1.125,3.625,-0.5,2.25,26.5,25.875,26.75,25.25,25.125,22.75,26.25,24.5,11.6875,11.375,11.75,11.1875,11.3125,11.0625,11.5625,11.25,23.5,25.75,24.75,26.25,25.125,22.75,26.25,24.5,23.5,25.75,24.75,26.25,26.25,26.375,25.75,26.75,26.5,25.875,26.75,25.25,26.25,26.375,25.75,26.75,1.328125,8
llama3.2-1b,alias_ctrl,pair_44,-3.5,0.125,-2.0,2.0,0.625,3.125,0.125,2.375,3.5,-0.125,2.0,-2.0,0.625,3.125,0.125,2.375,3.5,-0.125,2.0,-2.0,0.625,3.125,0.125,2.375,26.375,25.5,26.625,24.5,24.375,22.375,24.75,23.375,11.5625,11.6875,11.875,11.625,11.25,11.25,11.625,11.5625,22.875,25.625,24.625,26.5,24.375,22.375,24.75,23.375,22.875,25.625,24.625,26.5,25.0,25.5,24.875,25.75,26.375,25.5,26.625,24.5,25.0,25.5,24.875,25.75,1.203125,8
llama3.2-1b,alias_ctrl,pair_45,-1.5,1.25,-0.5,2.375,2.0,4.625,1.0,3.125,1.5,-1.25,0.5,-2.375,2.0,4.625,1.0,3.125,1.5,-1.25,0.5,-2.375,2.0,4.625,1.0,3.125,25.625,24.5,25.625,24.0,23.5,21.5,24.375,23.25,11.625,11.75,11.9375,11.875,11.625,11.75,11.6875,11.875,24.125,25.75,25.125,26.375,23.5,21.5,24.375,23.25,24.125,25.75,25.125,26.375,25.5,26.125,25.375,26.375,25.625,24.5,25.625,24.0,25.5,26.125,25.375,26.375,1.140625,8
