model,pair_id,LD_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,logit_close__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_close__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_close__sr=alt_reactive|do=stable_first|bo=alt_first,logit_close__sr=alt_reactive|do=stable_first|bo=dep_first,logit_close__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_close__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_close__sr=dep_reactive|do=stable_first|bo=alt_first,logit_close__sr=dep_reactive|do=stable_first|bo=dep_first,logit_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,logit_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,logit_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,logit_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,logit_stable__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_stable__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_stable__sr=alt_reactive|do=stable_first|bo=alt_first,logit_stable__sr=alt_reactive|do=stable_first|bo=dep_first,logit_stable__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_stable__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_stable__sr=dep_reactive|do=stable_first|bo=alt_first,logit_stable__sr=dep_reactive|do=stable_first|bo=dep_first,n_cells,mean_LD_reactive_pair,effect_state_role,effect_decl_order,effect_body_order,effect_reactive_body_pos
gemma3-1b-pt,pair_01,1.336130142211914,-0.8109550476074219,0.8193283081054688,-0.9287338256835938,0.21829795837402344,2.2619457244873047,-0.45343589782714844,1.6605682373046875,8.162782669067383,8.360812187194824,8.390152931213379,8.641183853149414,7.976949214935303,8.268684387207031,7.885340690612793,8.072011947631836,21.250186920166016,20.721111297607422,21.67787742614746,20.893264770507812,21.08371925354004,21.901866912841797,20.71255111694336,22.03614044189453,19.9140567779541,21.532066345214844,20.858549118041992,21.821998596191406,20.865421295166016,19.639921188354492,21.165987014770508,20.375572204589844,8,0.5128931999206543,0.817901611328125,0.47692298889160156,0.06562614440917969,2.013199806213379
gemma3-1b-pt,pair_02,1.5459842681884766,-1.6446418762207031,1.0973129272460938,-1.7344303131103516,-0.463958740234375,2.4899539947509766,-1.1263141632080078,2.0552940368652344,6.7461628913879395,6.9438982009887695,6.7113237380981445,7.0112481117248535,6.761845111846924,6.8906989097595215,6.653892517089844,6.867843151092529,20.01930046081543,19.020862579345703,20.168874740600586,19.154468536376953,19.03058433532715,20.71099281311035,18.489269256591797,20.569120407104492,18.473316192626953,20.665504455566406,19.071561813354492,20.888898849487305,19.494543075561523,18.221038818359375,19.615583419799805,18.513826370239258,8,0.27740001678466797,0.9226875305175781,0.40886878967285156,0.028287887573242188,3.0394725799560547
gemma3-1b-pt,pair_03,-0.13812637329101562,-2.8163414001464844,-0.7026901245117188,-2.7529029846191406,0.6660308837890625,2.7230224609375,0.78045654296875,2.453001022338867,6.885410785675049,7.114411354064941,6.643327236175537,6.975631237030029,6.243544101715088,6.502396106719971,6.2897467613220215,6.632990837097168,20.52164077758789,18.92581558227539,20.360492706298828,19.012577056884766,20.903413772583008,21.712493896484375,20.980287551879883,21.787837982177734,20.659767150878906,21.742156982421875,21.063182830810547,21.765480041503906,20.237382888793945,18.989471435546875,20.199831008911133,19.334836959838867,8,0.02655625343322754,3.2581429481506348,0.16418027877807617,-0.24972295761108398,2.1144909858703613
gemma3-1b-pt,pair_04,0.9649410247802734,-1.405172348022461,0.3002357482910156,-1.7288799285888672,-0.40220069885253906,1.6593666076660156,-0.5187873840332031,1.7957897186279297,8.871650695800781,9.085599899291992,8.878236770629883,9.267692565917969,8.326172828674316,8.684223175048828,8.086430549621582,8.505447387695312,19.796375274658203,19.11941146850586,19.694055557250977,18.853816986083984,19.534465789794922,20.710145950317383,19.162790298461914,20.719032287597656,18.83143424987793,20.52458381652832,19.39381980895996,20.58269691467285,19.93666648864746,19.050779342651367,19.681577682495117,18.923242568969727,8,0.08316159248352051,1.1007609367370605,0.24214410781860352,-0.005771160125732422,2.193843364715576
gemma3-1b-pt,pair_05,1.1183433532714844,-1.427774429321289,0.7535495758056641,-1.6003398895263672,-0.2164630889892578,2.6669273376464844,-0.11396026611328125,2.744352340698242,6.540168762207031,6.605681896209717,6.510224342346191,6.686365604400635,6.141811847686768,6.283020973205566,6.338746070861816,6.496057033538818,20.587989807128906,19.15764808654785,20.784658432006836,19.2587947845459,20.264616012573242,20.989490509033203,20.271121978759766,21.17162322998047,19.469646453857422,20.58542251586914,20.031108856201172,20.859134674072266,20.4810791015625,18.32256317138672,20.385082244873047,18.427270889282227,8,0.49057936668395996,1.5592694282531738,0.08935785293579102,0.21042394638061523,2.6604275703430176
gemma3-1b-pt,pair_06,2.481985092163086,0.5587787628173828,1.9116230010986328,0.293365478515625,-0.7066078186035156,0.8549900054931641,-1.525594711303711,0.28603172302246094,8.13381290435791,8.209705352783203,8.133281707763672,8.3766450881958,8.020129203796387,8.12877082824707,7.990329742431641,8.112136840820312,20.977121353149414,20.143407821655273,21.000938415527344,20.1818790435791,19.72506332397461,20.329341888427734,19.125499725341797,20.172523498535156,18.495136260986328,19.58462905883789,19.08931541442871,19.888513565063477,20.431671142578125,19.47435188293457,20.651094436645508,19.886491775512695,8,0.5193214416503906,-1.584233283996582,0.5559301376342773,-0.042059898376464844,1.7286720275878906
gemma3-1b-pt,pair_07,1.4889488220214844,-1.4074344635009766,0.07175636291503906,-2.068094253540039,1.013223648071289,3.0731029510498047,1.0254478454589844,2.419393539428711,7.540219783782959,7.497089862823486,7.7269511222839355,7.9613776206970215,7.150937080383301,7.185915470123291,7.012273788452148,7.118106842041016,20.32525062561035,19.593015670776367,20.183670043945312,19.293216705322266,20.558841705322266,21.37493896484375,20.433237075805664,21.416900634765625,18.836301803588867,21.000450134277344,20.111913681030273,21.361310958862305,19.545618057250977,18.301836013793945,19.40778923034668,18.997507095336914,8,0.7020430564880371,2.3614978790283203,0.6798343658447266,-0.3956022262573242,2.1225147247314453
gemma3-1b-pt,pair_08,3.0196075439453125,0.0728912353515625,1.4313240051269531,-1.08502197265625,0.087738037109375,1.7993106842041016,-0.7348213195800781,1.0198841094970703,7.655745029449463,7.943829536437988,7.756988525390625,8.148426055908203,7.284320831298828,7.544675350189209,7.329677104949951,7.670821666717529,20.84320640563965,19.923675537109375,20.62995147705078,19.46904182434082,19.897417068481445,20.58427619934082,19.53852653503418,20.65424919128418,17.823598861694336,19.850784301757812,19.198627471923828,20.55406379699707,19.80967903137207,18.78496551513672,20.273347854614258,19.63436508178711,8,0.7013640403747559,-0.31667232513427734,1.087045669555664,-0.49919605255126953,2.232335090637207
gemma3-1b-pt,pair_09,1.3234119415283203,-1.5341434478759766,1.3844528198242188,-1.6329402923583984,-0.8012962341308594,1.5580005645751953,-1.0766620635986328,1.8483295440673828,8.050414085388184,7.922796726226807,8.290811538696289,8.241230964660645,7.614391326904297,7.631280422210693,7.531965732574463,7.601043224334717,20.40854263305664,18.883378982543945,20.622650146484375,18.87556266784668,19.48134422302246,20.443479537963867,19.393177032470703,20.63590431213379,19.08513069152832,20.417522430419922,19.238197326660156,20.508502960205078,20.28264045715332,18.885478973388672,20.469839096069336,18.787574768066406,8,0.13364410400390625,0.49689769744873047,0.005698204040527344,-0.14766502380371094,2.789809226989746
gemma3-1b-pt,pair_10,1.4158592224121094,0.025274276733398438,0.8926296234130859,-0.7894363403320312,0.2519950866699219,1.7420616149902344,-0.48465919494628906,1.0872745513916016,7.986538887023926,7.906237602233887,7.969067096710205,8.05827522277832,7.455070495605469,7.480854034423828,7.315546035766602,7.323472499847412,20.706113815307617,20.186573028564453,20.570268630981445,19.886857986450195,19.713008880615234,20.493572235107422,19.34919548034668,20.503843307495117,19.290254592895508,20.161298751831055,19.67763900756836,20.676294326782227,19.461013793945312,18.751510620117188,19.83385467529297,19.416568756103516,8,0.5176248550415039,0.26308631896972656,0.6823453903198242,-0.00266265869140625,1.5336627960205078
