model,condition,sample_id,LD_copy_clean,LD_copy_corrupted,LD_inclusion_clean,LD_inclusion_corrupted,copy_error_clean,copy_error_corrupted,logit_alt_clean,logit_alt_corrupted,logit_close_clean,logit_close_corrupted,logit_dep_clean,logit_dep_corrupted,gap_copy,gap_inclusion
gemma3-1b-pt,alias,sub_01,2.6647510528564453,-1.7172012329101562,12.234090805053711,10.69870376586914,9.569339752197266,12.415904998779297,17.652915954589844,19.824939727783203,8.083576202392578,7.409034729003906,20.31766700744629,18.107738494873047,4.381952285766602,1.5353870391845703
gemma3-1b-pt,alias,sub_02,6.357758522033691,-2.4566917419433594,13.282828330993652,10.401477336883545,6.925069808959961,12.858169078826904,13.804533958435059,18.943052291870117,6.879464149475098,6.084883213043213,20.16229248046875,16.486360549926758,8.81445026397705,2.8813509941101074
gemma3-1b-pt,alias,sub_03,3.845979690551758,-1.9045848846435547,14.65682077407837,13.057209014892578,10.810841083526611,14.961793899536133,16.814674377441406,20.642669677734375,6.003833293914795,5.680875778198242,20.660654067993164,18.73808479309082,5.7505645751953125,1.599611759185791
gemma3-1b-pt,alias,sub_04,3.216024398803711,-1.5137882232666016,11.4870023727417,10.04377269744873,8.270977973937988,11.557560920715332,16.55449867248535,19.177461624145508,8.283520698547363,7.619900703430176,19.770523071289062,17.663673400878906,4.7298126220703125,1.4432296752929688
gemma3-1b-pt,alias,sub_05,4.133028030395508,-1.9632587432861328,13.994001865386963,12.495706558227539,9.860973834991455,14.458965301513672,16.18049430847168,20.622949600219727,6.319520473480225,6.163984298706055,20.313522338867188,18.659690856933594,6.096286773681641,1.4982953071594238
gemma3-1b-pt,alias,sub_06,2.498392105102539,-2.289152145385742,12.1090726852417,10.221999168395996,9.61068058013916,12.511151313781738,17.143449783325195,19.972671508789062,7.532769203186035,7.461520195007324,19.641841888427734,17.68351936340332,4.787544250488281,1.8870735168457031
gemma3-1b-pt,alias,sub_07,3.9583187103271484,-2.394500732421875,13.391631603240967,10.183797836303711,9.433312892913818,12.578298568725586,16.508392333984375,19.566503524780273,7.075079441070557,6.9882049560546875,20.466711044311523,17.1720027923584,6.352819442749023,3.207833766937256
gemma3-1b-pt,alias,sub_08,4.427461624145508,-2.013519287109375,13.078948020935059,10.566981315612793,8.65148639678955,12.580500602722168,15.884956359863281,19.644222259521484,7.2334699630737305,7.063721656799316,20.31241798400879,17.63070297241211,6.440980911254883,2.5119667053222656
gemma3-1b-pt,alias,sub_09,2.8197250366210938,-2.4976119995117188,13.465458869934082,10.63117265701294,10.645733833312988,13.128784656524658,16.906518936157227,19.61128044128418,6.260785102844238,6.4824957847595215,19.72624397277832,17.11366844177246,5.3173370361328125,2.8342862129211426
gemma3-1b-pt,alias,sub_10,3.1779403686523438,-1.3161258697509766,12.413639068603516,10.415838241577148,9.235698699951172,11.731964111328125,16.44896697998047,19.14967918395996,7.213268280029297,7.417715072631836,19.626907348632812,17.833553314208984,4.49406623840332,1.9978008270263672
gemma3-1b-pt,alias,sub_11,3.562917709350586,-0.5837879180908203,13.37045431137085,12.564306735992432,9.807536602020264,13.148094654083252,17.6501407623291,20.26784324645996,7.842604160308838,7.119748592376709,21.213058471679688,19.68405532836914,4.146705627441406,0.806147575378418
gemma3-1b-pt,alias,sub_12,2.8501205444335938,-1.9039154052734375,11.785761833190918,9.584769248962402,8.935641288757324,11.48868465423584,17.355314254760742,19.513078689575195,8.419672966003418,8.024394035339355,20.205434799194336,17.609163284301758,4.754035949707031,2.2009925842285156
gemma3-1b-pt,alias,sub_13,4.155080795288086,-2.225027084350586,12.39981746673584,9.759264469146729,8.244736671447754,11.984291553497314,15.897384643554688,19.655197143554688,7.652647972106934,7.670905590057373,20.052465438842773,17.4301700592041,6.380107879638672,2.6405529975891113
gemma3-1b-pt,alias,sub_14,5.29426383972168,-1.3126354217529297,14.320267677307129,12.223689079284668,9.02600383758545,13.536324501037598,15.60371208190918,19.78481674194336,6.5777082443237305,6.248492240905762,20.89797592163086,18.47218132019043,6.606899261474609,2.096578598022461
