model,condition,sample_id,run_type,dep_str,alt_str,n_tokens,dep_id,alt_id,close_id,logit_dep,logit_alt,logit_close,LD_copy,LD_inclusion,copy_error
llama3.2-1b,alias,sub_15,corrupted,page,min,47,2964,1083,60,24.0948429107666,24.91864776611328,11.961640357971191,-0.8238048553466797,12.13320255279541,12.95700740814209
llama3.2-1b,alias_ctrl,sub_15,clean,page,min,58,2964,1083,60,24.86957550048828,21.91201400756836,11.253491401672363,2.957561492919922,13.616084098815918,10.658522605895996
llama3.2-1b,alias_ctrl,sub_15,corrupted,page,min,58,2964,1083,60,23.295061111450195,24.175535202026367,11.225208282470703,-0.8804740905761719,12.069852828979492,12.950326919555664
llama3.2-1b,subscribe,sub_15,clean,page,min,51,2964,1083,60,24.914512634277344,22.88054847717285,11.602776527404785,2.033964157104492,13.311736106872559,11.277771949768066
llama3.2-1b,subscribe,sub_15,corrupted,page,min,51,2964,1083,60,23.715633392333984,24.60263442993164,11.615070343017578,-0.8870010375976562,12.100563049316406,12.987564086914062
llama3.2-1b,useEffect,sub_16,clean,query,base,41,1663,3231,60,26.38315200805664,21.606590270996094,10.564449310302734,4.776561737060547,15.818702697753906,11.04214096069336
llama3.2-1b,useEffect,sub_16,corrupted,query,base,41,1663,3231,60,22.9905948638916,25.75156021118164,12.032118797302246,-2.760965347290039,10.958476066589355,13.719441413879395
llama3.2-1b,useLayoutEffect,sub_16,clean,query,base,43,1663,3231,60,26.067785263061523,21.49656105041504,10.96973991394043,4.571224212646484,15.098045349121094,10.52682113647461
llama3.2-1b,useLayoutEffect,sub_16,corrupted,query,base,43,1663,3231,60,22.859529495239258,25.643596649169922,12.194939613342285,-2.784067153930664,10.664589881896973,13.448657035827637
llama3.2-1b,alias,sub_16,clean,query,base,48,1663,3231,60,25.100439071655273,21.410877227783203,10.59313678741455,3.6895618438720703,14.507302284240723,10.817740440368652
llama3.2-1b,alias,sub_16,corrupted,query,base,48,1663,3231,60,23.249780654907227,24.80743408203125,11.364831924438477,-1.5576534271240234,11.88494873046875,13.442602157592773
